KAABA00011GN;2012-12-01;2012-12-31;M10;100 000;5000
VEBALASS11GN;2012-12-01;2012-12-31;M0;100 000;5000
KEKALOCS11GN;2012-12-01;2012-12-31;M10;100 000;5000
VEBUDAOR1VEN;2012-12-01;2012-12-31;M0;100 000;5000
VETELJCS56EN;2012-12-01;2012-12-31;M10;100 000;5000
HABEREGD1IIN;2012-12-01;2012-12-31;M0;100 000;5000;
KAMOSONM1IIN;2012-12-01;2012-12-31;M10;100 000;5000
GEDRAVAS1IIN;2012-12-01;2012-12-31;M0;100 000;5000
KETELJCS57EN;2012-12-01;2012-12-31;M10;100 000;5000
KEALGYO03ONN;2012-12-01;2012-12-31;M0;100 000;5000
